date,horizon,ARIMA,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2022-03-01,12,0.9407647114504403,4.34454542966665e-05,0.0,0.05842906571899424,2.3156382496971364e-08,0.0007627542198864879
2022-04-01,12,0.9953173343958812,0.0001772358183546336,0.0,0.004150958149054877,0.0001772358183546336,0.0001772358183546336
2022-05-01,12,0.9950369803332582,0.00019316269201564108,1.3178235655119823e-12,0.004383531589376984,0.00019316269201564108,0.00019316269201564108
2022-06-01,12,0.9947424580141715,0.0002103361123692704,1.7318430156833613e-12,0.004626533646988682,0.0002103361123692704,0.0002103361123692704
2022-07-01,12,0.9944332025957234,0.00022883727733453104,2.2696845691684933e-12,0.004880285570003049,0.00022883727733453104,0.00022883727733453104
2022-08-01,12,0.994108634630245,0.0002487513750479215,2.9664691475376763e-12,0.005145111241644843,0.0002487513750479215,0.0002487513750479215
2022-09-01,12,0.9937681600935385,0.0002701676876448364,3.866722521828477e-12,0.0054213368396602325,0.0002701676876448364,0.0002701676876448364
2022-10-01,12,0.9934111704411476,0.0002931796914980107,5.0267396197581745e-12,0.0057092904793316634,0.0002931796914980107,0.0002931796914980107
2022-11-01,12,0.9930370426930502,0.0003178851534067156,6.517502796467947e-12,0.006009301840212181,0.0003178851534067156,0.0003178851534067156
2022-12-01,12,0.9926451395481837,0.0003443862222166099,8.428273881223313e-12,0.006321701776738061,0.0003443862222166099,0.0003443862222166099
2023-01-01,12,0.9922348095301963,0.0003727895153374656,1.0871003411854438e-11,0.006646821912920356,0.0003727895153374656,0.0003727895153374656
2023-02-01,12,0.9918053871658107,0.00040320619961476013,1.3985728215890435e-11,0.006984994221359342,0.00040320619961476013,0.00040320619961476013
2023-03-01,12,0.9913561931971778,0.00043575206600146544,1.7947161020829955e-11,0.007336550586870701,0.00043575206600146544,0.00043575206600146544
2025-01-01,12,0.9908865348523267,0.0004705475974792219,0.0,0.007701822355235503,0.0004705475974792219,0.0004705475974792219
2025-02-01,12,0.992008164058772,1.3176117288309312e-12,0.0,0.006719252106745806,1.3176117288309312e-12,0.001272583831847071
2025-03-01,12,0.9898685362340413,1.319257198700455e-12,0.0,0.008188491822772663,1.319257198700455e-12,0.0019429719405476375
2025-04-01,12,0.986237698422127,1.9159621848826064e-11,0.0,0.00952052641445925,1.9159621848826064e-11,0.004241775125094726
2025-05-01,12,0.9855579100319134,2.450210680284469e-11,1.3171655540743643e-12,0.009965858519299136,2.450210680284469e-11,0.004476231398466255
2025-06-01,12,0.9848521512786439,3.125626683258844e-11,1.7300938906291538e-12,0.010426901759159954,3.125626683258844e-11,0.00472094689795368
2025-07-01,12,0.9841198177976109,3.977391897903164e-11,2.2662072563858767e-12,0.010903963244468112,3.977391897903164e-11,0.0049762188761067905
2025-08-01,12,0.9833603087321714,5.0489094053812595e-11,2.960341454332969e-12,0.011397345462105007,5.0489094053812595e-11,0.005242345701785236
2025-09-01,12,0.9825730276037085,6.393591610303953e-11,3.856627367014306e-12,0.011907345775204078,6.393591610303953e-11,0.005519626489359029
2025-10-01,12,0.9817573831972962,8.077006447609909e-11,5.010817529931568e-12,0.012434255920196874,8.077006447609909e-11,0.005808360715956053
2025-11-01,12,0.9809127904603706,1.0179447069600643e-10,6.49315492940162e-12,0.012978361502178825,1.0179447069600643e-10,0.006108847827368511
2025-12-01,12,0.9800386714126337,1.2799000793380882e-10,8.391900523875032e-12,0.013539941489707956,1.2799000793380882e-10,0.006421386833286383
2026-01-01,12,0.9791344562225239,1.6055205119752738e-10,1.0817658744648234e-11,0.014119267712446487,0.0,0.006746275893659967
2026-02-01,12,0.9781995835444515,2.0093392276681282e-10,1.3908666932235099e-11,0.014716604349904247,0.0,0.007083811890801618
2026-03-01,12,0.977233502285344,2.5089839250137587e-10,1.783724595387564e-11,0.015332207443229398,0.0,0.0074342900026909825
